,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
12,12,12,0.5038303305433411,0.4961696694566578,0.0076606610866833,1.0154395997140904,0.9847951569759172,1734318337499929.8,873802181249967.5,860516156249960.5,False,False,False,14098,7103,6995,,,,,,,,,,,,,,,,,,,,,
13,13,13,0.4972115910333499,0.5027884089666482,-0.0055768179332983,0.9889082209656342,1.0112161864965945,2.87575618047356e+16,1.429859305917248e+16,1.4458968745563066e+16,False,False,False,9145,4547,4598,,,,,,,,,,,,,,,,,,,,,
14,14,14,0.5019237495627848,0.498076250437214,0.0038474991255708,1.0077247191011285,0.9923344947735142,4.651193323469466e+17,2.3345443928571853e+17,2.3166489306122755e+17,False,False,False,5718,2870,2848,,,,,,,,,,,,,,,,,,,,,
15,15,15,0.502116082224908,0.4978839177750891,0.0042321644498187,1.0085003035822713,0.9915713425647196,7.032027312000076e+18,3.5308940040000287e+18,3.501133308000027e+18,False,False,False,3308,1661,1647,,,,,,,,,,,,,,,,,,,,,
16,16,16,0.5016778523489936,0.4983221476510067,0.0033557046979869,1.0067340067340074,0.993311036789297,1.0021814732812342e+20,5.0277224917968e+19,4.994092241015547e+19,False,False,False,1788,897,891,,,,,,,,,,,,,,,,,,,,,
17,17,17,0.527131782945739,0.4728682170542657,0.0542635658914733,1.1147540983606563,0.8970588235294114,1.3450238430103895e+21,7.090048164705965e+20,6.360190265397995e+20,False,False,False,903,476,427,,,,,,,,,,,,,,,,,,,,,
18,18,18,0.5345622119815647,0.4654377880184348,0.0691244239631298,1.14851485148514,0.8706896551724203,1.7298404549999978e+22,9.247073399999952e+21,8.051331150000018e+21,False,False,False,434,232,202,,,,,,,,,,,,,,,,,,,,,
19,19,19,0.5140186915887859,0.4859813084112157,0.0280373831775701,1.0576923076923077,0.9454545454545454,2.2966200732963704e+23,1.1805056451523418e+23,1.1161144281440325e+23,False,False,False,214,110,104,,,,,,,,,,,,,,,,,,,,,
20,20,20,0.4719101123595496,0.5280898876404481,-0.0561797752808983,0.8936170212765965,1.1190476190476182,2.5860317640749885e+24,1.2203745403499923e+24,1.3656572237249903e+24,False,False,False,89,42,47,,,,,,,,,,,,,,,,,,,,,
21,21,21,0.5454545454545479,0.4545454545454524,0.0909090909090953,1.2000000000000106,0.8333333333333259,2.609158395306109e+25,1.423177306530611e+25,1.1859810887754989e+25,False,False,False,33,18,15,,,,,,,,,,,,,,,,,,,,,
22,22,22,0.4000000000000061,0.5999999999999994,-0.1999999999999933,0.6666666666666774,1.4999999999999758,3.2418450009297486e+26,1.2967380003719193e+26,1.9451070005578477e+26,False,False,False,15,6,9,,,,,,,,,,,,,,,,,,,,,
23,23,23,0.8000000000000045,0.2000000000000011,0.6000000000000033,4.0,0.25,2.966073687051034e+27,2.3728589496408405e+27,5.932147374102101e+26,False,False,False,5,4,1,,,,,,,,,,,,,,,,,,,,,
24,24,24,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
25,25,25,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
26,26,26,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
27,27,27,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
