,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
12,12,0.49998176944948103,0.5000182305505275,-3.646110104646979e-05,0.9999270804566339,1.0000729248610136,6.337317841709144e+27,3.168543388061504e+27,3.168774453647694e+27,False,False,False,1289045,644499,644546,,,,,,,,,,,,,,,,,,,,,
13,13,0.5003762435485181,0.4996237564514808,0.0007524870970372653,1.0015061075205505,0.9984961574280569,1.545685751309026e+30,7.734244299464794e+29,7.72261321362545e+29,False,False,False,1336900,668953,667947,,,,,,,,,,,,,,,,,,,,,
14,14,0.4996097283417345,0.5003902716582673,-0.0007805433165327687,0.9984401309123255,1.0015623060806351,3.7718009346978244e+32,1.8844284403434804e+32,1.887372494354351e+32,False,False,False,1370840,684885,685955,,,,,,,,,,,,,,,,,,,,,
15,15,0.4994330272899937,0.5005669727100069,-0.0011339454200132697,0.9977346779115804,1.0022704654238952,9.223257836008476e+34,4.60639958251387e+34,4.616858253494613e+34,False,False,False,1394247,696333,697914,,,,,,,,,,,,,,,,,,,,,
16,16,0.5008555948073755,0.49914440519262043,0.001711189614755069,1.003428245607791,0.9965834671060964,2.255346169762954e+37,1.1296027473531603e+37,1.1257434224097843e+37,False,False,False,1405455,703930,701525,,,,,,,,,,,,,,,,,,,,,
17,17,0.49964100013308466,0.5003589998669165,-0.0007179997338317791,0.9985650308398115,1.0014370312557226,5.513334637858053e+39,2.7546880325277755e+39,2.758646605330283e+39,False,False,False,1405293,702142,703151,,,,,,,,,,,,,,,,,,,,,
18,18,0.5003079329250215,0.4996920670749678,0.0006158658500537277,1.0012324907490704,0.9987690264144862,1.3487197374711433e+42,6.7477518394936546e+41,6.7394455352176355e+41,False,False,False,1396408,698634,697774,,,,,,,,,,,,,,,,,,,,,
19,19,0.49965816216669073,0.5003418378333094,-0.0006836756666186617,0.9986335828529166,1.001368286797626,3.3000296752614785e+44,1.6488867626366917e+44,1.6511429126247874e+44,False,False,False,1379309,689183,690126,,,,,,,,,,,,,,,,,,,,,
20,20,0.500286536336938,0.49971346366305575,0.0005730726738821736,1.0011468025489676,0.9988545111006221,8.069833771680237e+46,4.037229186448754e+46,4.0326045852314326e+46,False,False,False,1354104,677440,676664,,,,,,,,,,,,,,,,,,,,,
21,21,0.5001379952801859,0.49986200471981146,0.00027599056037440063,1.000552133504384,0.9994481711787968,1.9730663415867288e+49,9.86805444635997e+48,9.862608969507266e+48,False,False,False,1322509,661437,661072,,,,,,,,,,,,,,,,,,,,,
22,22,0.4994247219879393,0.5005752780120443,-0.00115055602410498,0.9977015324674557,1.0023037626562121,4.813089622300689e+51,2.4037759465205576e+51,2.4093136757800528e+51,False,False,False,1282858,640691,642167,,,,,,,,,,,,,,,,,,,,,
23,23,0.4999150996487596,0.5000849003512473,-0.0001698007024877058,0.9996604562497919,1.0003396590793256,1.1717202766837153e+54,5.8576065887881165e+53,5.859596178049116e+53,False,False,False,1236744,618267,618477,,,,,,,,,,,,,,,,,,,,,
24,24,0.5003108846756958,0.49968911532430704,0.0006217693513887939,1.0012443123780779,0.9987572340110253,2.8465877833854786e+56,1.4241788522126168e+56,1.42240893117287e+56,False,False,False,1185327,593032,592295,,,,,,,,,,,,,,,,,,,,,
25,25,0.4998568525102183,0.5001431474897853,-0.00028629497956696946,0.999427573923578,1.0005727539357103,6.891706000545965e+58,3.4448664698586905e+58,3.4468395306872984e+58,False,False,False,1128207,563942,564265,,,,,,,,,,,,,,,,,,,,,
26,26,0.49969201158559856,0.5003079884143944,-0.0006159768287958025,0.9987688047301664,1.001232712980224,1.6651059538450743e+61,8.32040143580002e+60,8.330658102650606e+60,False,False,False,1068222,533782,534440,,,,,,,,,,,,,,,,,,,,,
