,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
15,15,15,0.499547269594943,0.5004527304050538,-0.0009054608101108,0.998190716614978,1.0018125628248251,7.820217797391667e+33,3.906568448324786e+33,3.913649349066856e+33,False,False,False,1123185,561084,562101,,,,,,,,,,,,,,,,,,,,,
16,16,16,0.5002682054471541,0.4997317945528426,0.0005364108943115,1.001073397570774,0.9989277533761474,1.6139009245794632e+36,8.073833193088709e+35,8.06517605270587e+35,False,False,False,1122274,561438,560836,,,,,,,,,,,,,,,,,,,,,
17,17,17,0.5001174694646929,0.4998825305353159,0.000234938929377,1.0004699882772967,0.9995302325079176,3.3256265263082686e+38,1.6632039227219489e+38,1.66242260358635e+38,False,False,False,1110927,555594,555333,,,,,,,,,,,,,,,,,,,,,
18,18,18,0.5001268662390187,0.4998731337609923,0.0002537324780263,1.0005075937490726,0.9994926637716256,6.850343617618119e+40,3.4260408861398117e+40,3.424302731478381e+40,False,False,False,1091701,545989,545712,,,,,,,,,,,,,,,,,,,,,
19,19,19,0.5001385893948567,0.4998614106051441,0.0002771787897125,1.00055451127819,0.9994457960341596,1.4085632096698628e+43,7.044768167577769e+42,7.040863929120869e+42,False,False,False,1064295,532295,532000,,,,,,,,,,,,,,,,,,,,,
20,20,20,0.5001952662032153,0.4998047337967861,0.0003905324064291,1.0007813699631505,0.9992192400991844,2.889338120030633e+45,1.4452332500998204e+45,1.444104869930817e+45,False,False,False,1029364,514883,514481,,,,,,,,,,,,,,,,,,,,,
21,21,21,0.5002396645909082,0.4997603354090799,0.0004793291818282,1.0009591180969493,0.9990418009291202,5.9164762804615294e+47,2.959656110098139e+47,2.956820170363319e+47,False,False,False,988882,494678,494204,,,,,,,,,,,,,,,,,,,,,
22,22,22,0.49940117350932,0.500598826490674,-0.0011976529813539,0.997607559350968,1.0023981781479163,1.2097937904247396e+50,6.041724386424034e+49,6.056213517823291e+49,False,False,False,944347,471608,472739,,,,,,,,,,,,,,,,,,,,,
23,23,23,0.5006917899772507,0.499308210022754,0.0013835799544967,1.00277099380047,0.9972366633881502,2.466631895927214e+52,1.2350223391867765e+52,1.2316095567404493e+52,False,False,False,895503,448371,447132,,,,,,,,,,,,,,,,,,,,,
24,24,24,0.4997785855524091,0.5002214144475824,-0.0004428288951733,0.9991147342309158,1.0008860501589596,5.0208124590489955e+54,2.50929454910742e+54,2.511517909941533e+54,False,False,False,844570,422098,422472,,,,,,,,,,,,,,,,,,,,,
25,25,25,0.5010984783291201,0.4989015216708856,0.0021969566582346,1.0044035878080242,0.995615718759394,1.0173652720475884e+57,5.09800189727938e+56,5.075650823196564e+56,False,False,False,790184,395960,394224,,,,,,,,,,,,,,,,,,,,,
26,26,26,0.499631364089405,0.5003686359105839,-0.0007372718211789,0.998526542696192,1.0014756315839433,2.0488774628901878e+59,1.0236834416358635e+59,1.025194021254301e+59,False,False,False,732430,365945,366485,,,,,,,,,,,,,,,,,,,,,
